geo_point_2d;Geo Shape;id_local;id_osm;code_com;coordonneesxy;capacite;capacite_cargo;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;lumiere;url_info;d_service;source;proprietaire;gestionnaire;date_maj;commentaires
47.263907699999955, -2.234408;"{""coordinates"": [-2.234408, 47.263907699999955], ""type"": ""Point""}";450;n8672339770;44184;[-2.234408000000006,47.26390770000002];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.257956499999956, -2.2264753;"{""coordinates"": [-2.2264753, 47.257956499999956], ""type"": ""Point""}";456;n8672339768;44184;[-2.2264753000000037,47.257956500000006];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.27141679999995, -2.230014800000012;"{""coordinates"": [-2.230014800000012, 47.27141679999995], ""type"": ""Point""}";459;n8672295281;44184;[-2.230014800000005,47.271416800000004];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.279687895318844, -2.214384447345479;"{""coordinates"": [-2.214384447345479, 47.279687895318844], ""type"": ""Point""}";516;w149948955;44184;[-2.21438444734548,47.279687895318894];22;;CADRE ET ROUE;RATELIER;ABONNEMENT OU INSCRIPTION PREALABLE;Faux;CONSIGNE COLLECTIVE FERMEE;Vrai;Faux;Vrai;https://www.velyceo.com/abris-velos;;"© les contributeurs d’OpenStreetMap ; © CARENE";;STRAN;2024-02-23;"Abonnement annuel 12 € ; Accès avec le pass mobilité Ycéo délivré à l’Espace Mobilité Ycéo, 6 place Sémard à Saint-Nazaire (pièces justificatives demandées)"
47.29870537673127, -2.199848228893135;"{""coordinates"": [-2.199848228893135, 47.29870537673127], ""type"": ""Point""}";564;;44210;[-2.199848228893136,47.29870537673133];6;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.25647538896526, -2.321841909919526;"{""coordinates"": [-2.321841909919526, 47.25647538896526], ""type"": ""Point""}";567;;44132;[-2.3218419099195264,47.256475388965306];3;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.23972142439674, -2.281394974449976;"{""coordinates"": [-2.281394974449976, 47.23972142439674], ""type"": ""Point""}";585;;44184;[-2.2813949744499773,47.23972142439679];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.26396041228183, -2.258749589836152;"{""coordinates"": [-2.258749589836152, 47.26396041228183], ""type"": ""Point""}";590;;44184;[-2.258749589836152,47.26396041228188];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.26390005569382, -2.250463427248772;"{""coordinates"": [-2.250463427248772, 47.26390005569382], ""type"": ""Point""}";592;;44184;[-2.2504634272487722,47.26390005569388];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.27374544663304, -2.231149582106432;"{""coordinates"": [-2.231149582106432, 47.27374544663304], ""type"": ""Point""}";606;;44184;[-2.231149582106426,47.273745446633086];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.27899290163949, -2.215556345546814;"{""coordinates"": [-2.215556345546814, 47.27899290163949], ""type"": ""Point""}";614;;44184;[-2.2155563455468115,47.27899290163953];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.27918031642522, -2.215763663143295;"{""coordinates"": [-2.215763663143295, 47.27918031642522], ""type"": ""Point""}";615;;44184;[-2.2157636631432975,47.2791803164253];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.28641029803388, -2.211595913870249;"{""coordinates"": [-2.211595913870249, 47.28641029803388], ""type"": ""Point""}";618;;44184;[-2.2115959138702546,47.28641029803391];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.27932162085072, -2.212029986762054;"{""coordinates"": [-2.212029986762054, 47.27932162085072], ""type"": ""Point""}";514;;44184;[-2.212029986762052,47.27932162085077];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.45291019999995, -2.2349292;"{""coordinates"": [-2.2349292, 47.45291019999995], ""type"": ""Point""}";201;n8789398273;44030;[-2.2349292000000047,47.4529102];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27468533757009, -2.199123289620646;"{""coordinates"": [-2.199123289620646, 47.27468533757009], ""type"": ""Point""}";261;;44184;[-2.19912328962065,47.27468533757015];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.273175599999966, -2.2500773;"{""coordinates"": [-2.2500773, 47.273175599999966], ""type"": ""Point""}";97;n1690477880;44184;[-2.2500773000000023,47.273175600000016];6;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.26396224254476, -2.258747868554312;"{""coordinates"": [-2.258747868554312, 47.26396224254476], ""type"": ""Point""}";109;n1837915359;44184;[-2.258747868554306,47.26396224254481];6;;CADRE ET ROUE;RATELIER;ABONNEMENT OU INSCRIPTION PREALABLE;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.270216299999966, -2.3520219;"{""coordinates"": [-2.3520219, 47.270216299999966], ""type"": ""Point""}";134;n1839685431;44132;[-2.352021900000007,47.27021630000001];4;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27446073220033, -2.214558984769054;"{""coordinates"": [-2.214558984769054, 47.27446073220033], ""type"": ""Point""}";152;n1852524662;44184;[-2.214558984769058,47.27446073220039];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.267783, -2.3481917;"{""coordinates"": [-2.3481917, 47.267783], ""type"": ""Point""}";157;n1839685446;44132;[-2.348191700000006,47.267783];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.270983499999964, -2.2081798;"{""coordinates"": [-2.2081798, 47.270983499999964], ""type"": ""Point""}";92;n1809222893;44184;[-2.208179800000004,47.27098350000001];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.30061480077962, -2.186149916772362;"{""coordinates"": [-2.186149916772362, 47.30061480077962], ""type"": ""Point""}";172;n8528596553;44184;[-2.1861499167723597,47.30061480077966];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.26769809999995, -2.2498517;"{""coordinates"": [-2.2498517, 47.26769809999995], ""type"": ""Point""}";472;n8676230151;44184;[-2.2498517000000033,47.26769809999999];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
