geo_point_2d;Geo Shape;id_local;id_osm;code_com;coordonneesxy;capacite;capacite_cargo;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;lumiere;url_info;d_service;source;proprietaire;gestionnaire;date_maj;commentaires
47.24014209999996, -2.2782823;"{""coordinates"": [-2.2782823, 47.24014209999996], ""type"": ""Point""}";40;n1655161104;44184;[-2.2782823000000034,47.24014210000001];4;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.275722860270285, -2.205563401614654;"{""coordinates"": [-2.205563401614654, 47.275722860270285], ""type"": ""Point""}";82;n1655161426;44184;[-2.2055634016146564,47.27572286027034];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.285041587733524, -2.225726700976113;"{""coordinates"": [-2.225726700976113, 47.285041587733524], ""type"": ""Point""}";540;;44184;[-2.225726700976119,47.28504158773357];2;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.297832194912985, -2.193971151595806;"{""coordinates"": [-2.193971151595806, 47.297832194912985], ""type"": ""Point""}";544;;44184;[-2.193971151595806,47.29783219491302];3;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;stationnement amovible, mis à dispo par la laverie ?
47.28585974973144, -2.195954751533444;"{""coordinates"": [-2.195954751533444, 47.28585974973144], ""type"": ""Point""}";545;;44184;[-2.195954751533448,47.28585974973149];30;;ROUE;RATELIER;ABONNEMENT OU INSCRIPTION PREALABLE;Vrai;STATIONNEMENT NON FERME;Vrai;Faux;Faux;;;© CARENE;;;2022-09-19;salariés des chantiers navals
47.32683526297649, -2.156268802398166;"{""coordinates"": [-2.156268802398166, 47.32683526297649], ""type"": ""Point""}";527;w265189617;44103;[-2.1562688023981638,47.32683526297655];14;;CADRE ET ROUE;RATELIER;ABONNEMENT OU INSCRIPTION PREALABLE;Faux;CONSIGNE COLLECTIVE FERMEE;Vrai;Faux;Vrai;https://www.velyceo.com/abris-velos;;"© les contributeurs d’OpenStreetMap ; © CARENE";;STRAN;2024-02-23;"Abonnement annuel 12 € ; Accès avec le pass mobilité Ycéo délivré à l’Espace Mobilité Ycéo, 6 place Sémard à Saint-Nazaire (pièces justificatives demandées)"
47.250429, -2.3079847;"{""coordinates"": [-2.3079847, 47.250429], ""type"": ""Point""}";57;n8791345476;44132;[-2.3079847000000058,47.250429000000004];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Vrai;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.30169192298094, -2.207073656149669;"{""coordinates"": [-2.207073656149669, 47.30169192298094], ""type"": ""Point""}";660;;44210;[-2.2070736561496718,47.30169192298099];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2023-01-19;
47.29021382744867, -2.229557008890739;"{""coordinates"": [-2.229557008890739, 47.29021382744867], ""type"": ""Point""}";627;;44184;[-2.2295570088907355,47.290213827448724];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.361537, -2.18641930000001;"{""coordinates"": [-2.18641930000001, 47.361537], ""type"": ""Point""}";399;n2708841872;44168;[-2.186419300000005,47.36153699999999];2;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.23893466331302, -2.307042897460853;"{""coordinates"": [-2.307042897460853, 47.23893466331302], ""type"": ""Point""}";664;;44132;[-2.3070428974608554,47.238934663313074];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2023-01-19;
47.23695454510714, -2.30115327245016;"{""coordinates"": [-2.30115327245016, 47.23695454510714], ""type"": ""Point""}";662;;44184;[-2.301153272450167,47.236954545107196];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2023-07-04;
47.301719742482966, -2.203927767197517;"{""coordinates"": [-2.203927767197517, 47.301719742482966], ""type"": ""Point""}";26;n3260185731;44210;[-2.2039277671975155,47.30171974248301];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.267175699999974, -2.3461971;"{""coordinates"": [-2.3461971, 47.267175699999974], ""type"": ""Point""}";230;n8791155975;44132;[-2.3461971000000017,47.2671757];9;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.40796029999995, -2.0964177;"{""coordinates"": [-2.0964177, 47.40796029999995], ""type"": ""Point""}";231;n8789439948;44013;[-2.0964177000000035,47.4079603];6;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.272634299999964, -2.200994200000011;"{""coordinates"": [-2.200994200000011, 47.272634299999964], ""type"": ""Point""}";256;n3560335006;44184;[-2.200994200000005,47.27263430000002];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27115569999996, -2.2068619;"{""coordinates"": [-2.2068619, 47.27115569999996], ""type"": ""Point""}";269;n5834058089;44184;[-2.2068619000000043,47.27115570000001];12;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.280188, -2.215185700000011;"{""coordinates"": [-2.215185700000011, 47.280188], ""type"": ""Point""}";271;n4875522786;44184;[-2.2151857000000046,47.280188];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.27198806950573, -2.204721144057264;"{""coordinates"": [-2.204721144057264, 47.27198806950573], ""type"": ""Point""}";277;n6173125520;44184;[-2.204721144057265,47.271988069505774];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27080339999995, -2.204076;"{""coordinates"": [-2.204076, 47.27080339999995], ""type"": ""Point""}";278;n6173125521;44184;[-2.2040760000000055,47.27080340000002];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.272086299999955, -2.2284251;"{""coordinates"": [-2.2284251, 47.272086299999955], ""type"": ""Point""}";287;n6172806060;44184;[-2.228425100000002,47.27208630000001];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.249721299999955, -2.3279398;"{""coordinates"": [-2.3279398, 47.249721299999955], ""type"": ""Point""}";294;n7783537832;44132;[-2.3279398000000024,47.2497213];18;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.24940219999995, -2.3282756;"{""coordinates"": [-2.3282756, 47.24940219999995], ""type"": ""Point""}";299;n7783537831;44132;[-2.3282756000000027,47.2494022];30;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.32106309999996, -2.1614666;"{""coordinates"": [-2.1614666, 47.32106309999996], ""type"": ""Point""}";300;n7038146727;44103;[-2.161466600000004,47.32106310000002];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;Couverture siège
47.267661, -2.3481944;"{""coordinates"": [-2.3481944, 47.267661], ""type"": ""Point""}";136;n1839685437;44132;[-2.348194400000003,47.26766099999999];2;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.32807249999995, -2.15287520000001;"{""coordinates"": [-2.15287520000001, 47.32807249999995], ""type"": ""Point""}";309;n8520984178;44103;[-2.152875200000004,47.3280725];12;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Commune de Montoir-de-bretagne;2022-09-19;
47.267644299999965, -2.3419002;"{""coordinates"": [-2.3419002, 47.267644299999965], ""type"": ""Point""}";313;n7794967174;44132;[-2.3419002000000053,47.2676443];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27762189999994, -2.2171339;"{""coordinates"": [-2.2171339, 47.27762189999994], ""type"": ""Point""}";318;n8528406197;44184;[-2.2171339000000043,47.277621899999986];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.34004271200995, -2.09309817304058;"{""coordinates"": [-2.09309817304058, 47.34004271200995], ""type"": ""Point""}";667;;44052;[-2.0930981730405773,47.340042712009996];6;;CADRE;ARCEAU;LIBRE ACCES;Vrai;BOX INDIVIDUEL FERME;Vrai;Faux;Faux;;2024;© CARENE;CARENE;STRAN;2024-08-20;Prévoir dispositif de fermeture type cadenas ou U
47.32186444931509, -2.080631870294645;"{""coordinates"": [-2.080631870294645, 47.32186444931509], ""type"": ""Point""}";672;;44052;[-2.080631870294652,47.321864449315136];10;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Vrai;Faux;Vrai;;2024;CARENE;CARENE;CARENE;2024-08-20;
47.24713579999995, -2.3175049;"{""coordinates"": [-2.3175049, 47.24713579999995], ""type"": ""Point""}";48;n8791401085;44132;[-2.3175049000000034,47.2471358];6;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Vrai;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.241136, -2.3101562;"{""coordinates"": [-2.3101562, 47.241136], ""type"": ""Point""}";107;n1838794708;44132;[-2.3101562000000047,47.241136000000004];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.265162, -2.3441631;"{""coordinates"": [-2.3441631, 47.265162], ""type"": ""Point""}";142;n1839685419;44132;[-2.344163100000002,47.265162];10;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.265182, -2.3451394;"{""coordinates"": [-2.3451394, 47.265182], ""type"": ""Point""}";143;n1839685420;44132;[-2.3451394000000025,47.26518200000002];6;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.31725589999998, -2.305751;"{""coordinates"": [-2.305751, 47.31725589999998], ""type"": ""Point""}";331;n1861450969;44151;[-2.3057510000000034,47.317255900000006];5;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27671706982658, -2.210392628768632;"{""coordinates"": [-2.210392628768632, 47.27671706982658], ""type"": ""Point""}";36;n1655161156;44184;[-2.210392628768634,47.27671706982664];2;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.26441574952619, -2.344764556344722;"{""coordinates"": [-2.344764556344722, 47.26441574952619], ""type"": ""Point""}";146;n1839685414;44132;[-2.344764556344721,47.26441574952623];2;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.23586429999995, -2.2954883;"{""coordinates"": [-2.2954883, 47.23586429999995], ""type"": ""Point""}";412;n2380487328;44184;[-2.2954883000000033,47.2358643];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.322350949337036, -2.302607827448462;"{""coordinates"": [-2.302607827448462, 47.322350949337036], ""type"": ""Point""}";421;;44151;[-2.302607827448463,47.322350949337086];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;© CARENE;;;2022-09-19;
47.28325749999996, -2.2598181;"{""coordinates"": [-2.2598181, 47.28325749999996], ""type"": ""Point""}";428;n8676270834;44184;[-2.259818100000006,47.28325750000002];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.27338649999995, -2.2212194;"{""coordinates"": [-2.2212194, 47.27338649999995], ""type"": ""Point""}";449;n8528638216;44184;[-2.2212194000000034,47.273386499999994];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.26733619999996, -2.233605;"{""coordinates"": [-2.233605, 47.26733619999996], ""type"": ""Point""}";451;n8672339771;44184;[-2.2336050000000025,47.2673362];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.26053519999994, -2.2335223;"{""coordinates"": [-2.2335223, 47.26053519999994], ""type"": ""Point""}";464;n8672278152;44184;[-2.2335223000000033,47.26053519999999];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.313628399999956, -2.311727;"{""coordinates"": [-2.311727, 47.313628399999956], ""type"": ""Point""}";180;n8789224273;44151;[-2.3117270000000065,47.3136284];5;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.305686718733334, -2.180932289730515;"{""coordinates"": [-2.180932289730515, 47.305686718733334], ""type"": ""Point""}";563;;44103;[-2.180932289730521,47.30568671873339];2;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.25874784038472, -2.341465161981531;"{""coordinates"": [-2.341465161981531, 47.25874784038472], ""type"": ""Point""}";573;;44132;[-2.341465161981539,47.25874784038478];24;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.2640206760803, -2.344025366923652;"{""coordinates"": [-2.344025366923652, 47.2640206760803], ""type"": ""Point""}";578;;44132;[-2.3440253669236597,47.26402067608034];48;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.25680635389084, -2.255985570940466;"{""coordinates"": [-2.255985570940466, 47.25680635389084], ""type"": ""Point""}";588;;44184;[-2.255985570940464,47.2568063538909];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.26773087196379, -2.220600237033168;"{""coordinates"": [-2.220600237033168, 47.26773087196379], ""type"": ""Point""}";599;;44184;[-2.2206002370331683,47.26773087196384];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.27841417379943, -2.21272319672664;"{""coordinates"": [-2.21272319672664, 47.27841417379943], ""type"": ""Point""}";608;;44184;[-2.212723196726634,47.278414173799476];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.27920965057372, -2.21613683082144;"{""coordinates"": [-2.21613683082144, 47.27920965057372], ""type"": ""Point""}";613;;44184;[-2.216136830821441,47.279209650573755];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.2823914567689, -2.207372990125154;"{""coordinates"": [-2.207372990125154, 47.2823914567689], ""type"": ""Point""}";620;;44184;[-2.2073729901251578,47.28239145676895];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.27871939027125, -2.216077138199471;"{""coordinates"": [-2.216077138199471, 47.27871939027125], ""type"": ""Point""}";517;w149948952;44184;[-2.2160771381994713,47.278719390271284];22;;CADRE ET ROUE;RATELIER;ABONNEMENT OU INSCRIPTION PREALABLE;Faux;CONSIGNE COLLECTIVE FERMEE;Vrai;Faux;Vrai;https://www.velyceo.com/abris-velos;;"© les contributeurs d’OpenStreetMap ; © CARENE";;STRAN;2024-02-23;"Abonnement annuel 12 € ; Accès avec le pass mobilité Ycéo délivré à l’Espace Mobilité Ycéo, 6 place Sémard à Saint-Nazaire (pièces justificatives demandées)"
47.290120899999955, -2.2592479;"{""coordinates"": [-2.2592479, 47.290120899999955], ""type"": ""Point""}";9;n2787304476;44184;[-2.259247900000005,47.2901209];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.391970299999954, -2.2078556;"{""coordinates"": [-2.2078556, 47.391970299999954], ""type"": ""Point""}";207;n8789364104;44168;[-2.207855600000003,47.39197030000001];4;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.44737221211707, -2.241263261755679;"{""coordinates"": [-2.241263261755679, 47.44737221211707], ""type"": ""Point""}";211;n8789359963;44030;[-2.2412632617556802,47.44737221211712];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27591339999995, -2.2033221;"{""coordinates"": [-2.2033221, 47.27591339999995], ""type"": ""Point""}";76;n9036805380;44184;[-2.203322100000003,47.27591339999999];4;;CADRE;ARCEAU;LIBRE ACCES;Vrai;BOX INDIVIDUEL FERME;Vrai;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";CARENE;STRAN;2022-09-19;Prévoir dispositif de fermeture type cadenas ou U
47.26865180971543, -2.216196472016194;"{""coordinates"": [-2.216196472016194, 47.26865180971543], ""type"": ""Point""}";78;n1667584751;44184;[-2.2161964720161955,47.26865180971548];4;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27475249999994, -2.2164226;"{""coordinates"": [-2.2164226, 47.27475249999994], ""type"": ""Point""}";350;n1891793895;44184;[-2.2164226000000053,47.27475249999999];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.241163099999966, -2.2807296;"{""coordinates"": [-2.2807296, 47.241163099999966], ""type"": ""Point""}";151;n1849963977;44184;[-2.2807296000000012,47.24116310000002];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2023-07-04;
47.26086829999995, -2.3382075;"{""coordinates"": [-2.3382075, 47.26086829999995], ""type"": ""Point""}";154;n1843789862;44132;[-2.3382075000000024,47.260868300000006];16;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.26104009999997, -2.2558192;"{""coordinates"": [-2.2558192, 47.26104009999997], ""type"": ""Point""}";99;n1699841513;44184;[-2.255819200000004,47.26104010000002];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.30871419999996, -2.3266336;"{""coordinates"": [-2.3266336, 47.30871419999996], ""type"": ""Point""}";174;n8789224274;44151;[-2.3266336000000067,47.30871420000001];2;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Commune de Saint André des Eaux;2022-09-19;
47.261552499999944, -2.2553965;"{""coordinates"": [-2.2553965, 47.261552499999944], ""type"": ""Point""}";219;n8672419371;44184;[-2.2553965000000042,47.26155249999999];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.24797309999997, -2.3230367;"{""coordinates"": [-2.3230367, 47.24797309999997], ""type"": ""Point""}";312;n7790925593;44132;[-2.323036700000004,47.247973100000024];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.268744, -2.2447523;"{""coordinates"": [-2.2447523, 47.268744], ""type"": ""Point""}";369;n2292624450;44184;[-2.244752300000005,47.268744000000005];18;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.26805959999995, -2.2446337;"{""coordinates"": [-2.2446337, 47.26805959999995], ""type"": ""Point""}";370;n2292624451;44184;[-2.2446337000000036,47.268059600000015];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.274167699999964, -2.212381;"{""coordinates"": [-2.212381, 47.274167699999964], ""type"": ""Point""}";476;n8676205179;44184;[-2.212381000000005,47.27416770000001];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.27403649999995, -2.2109809;"{""coordinates"": [-2.2109809, 47.27403649999995], ""type"": ""Point""}";484;n8528563143;44184;[-2.210980900000005,47.2740365];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.27655359999995, -2.2173182;"{""coordinates"": [-2.2173182, 47.27655359999995], ""type"": ""Point""}";487;n8528508697;44184;[-2.2173182000000042,47.2765536];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.259511199999956, -2.3409667;"{""coordinates"": [-2.3409667, 47.259511199999956], ""type"": ""Point""}";432;n9040053564;44132;[-2.3409667000000054,47.259511199999984];12;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.276642598652124, -2.20558141832971;"{""coordinates"": [-2.20558141832971, 47.276642598652124], ""type"": ""Point""}";623;;44184;[-2.2055814183297104,47.276642598652174];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.302164736620746, -2.30547322890627;"{""coordinates"": [-2.30547322890627, 47.302164736620746], ""type"": ""Point""}";633;;44151;[-2.305473228906264,47.3021647366208];2;;CADRE;ARCEAU;LIBRE ACCES;Vrai;BOX INDIVIDUEL FERME;Vrai;Faux;Faux;;;© CARENE;CARENE;STRAN;2022-09-19;Prévoir dispositif de fermeture type cadenas ou U
47.29765000057148, -2.194830644006321;"{""coordinates"": [-2.194830644006321, 47.29765000057148], ""type"": ""Point""}";643;;44184;[-2.194830644006321,47.29765000057152];5;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.36106729999995, -2.1863748;"{""coordinates"": [-2.1863748, 47.36106729999995], ""type"": ""Point""}";192;n8789323404;44168;[-2.1863748000000025,47.361067299999995];2;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.29607660275045, -2.190650913252984;"{""coordinates"": [-2.190650913252984, 47.29607660275045], ""type"": ""Point""}";542;;44184;[-2.1906509132529846,47.29607660275051];3;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;Mis à dispo par le coiffeur
47.273239, -2.2052826;"{""coordinates"": [-2.2052826, 47.273239], ""type"": ""Point""}";53;n1655161305;44184;[-2.2052826000000043,47.273239000000004];4;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
